DP22F,Inside the ear? At the same TIME?!,,repulsed
DP23S,"Let's do that, now!",,aroused
,,,
DDB,Bark;Woof;Anf,,
DD-1,Bark Bark,,
DD0,Ah! It is nice to meet you Mr. President!,,aroused
DD1,Bark!,,
DD2,Woof! Woof! ,,
DD3,Anf anf anf anf anf.,,
DD1S,"I-I will do it, but only because it's you asking. Protect me, Grandma! ",,aroused
DD20,"W-what are you talking about!?! Protect me, Grandma!",,aroused
DD30,You met Grandma?!,,confident
DD21,Bark!,,
DD22,Woof! Woof! ,,
DD23,Anf anf anf anf anf.,,
DD21F,I... that is too much Mr. President.,,aroused
DD22F,I-in front of... ?! *Demolitos passes out*,,aroused
DD23S,"Yes, Mr. President.",,aroused
DD31,Bark!,,
DD32,Woof! Woof! ,,
DD33,Anf anf anf anf anf.,,
DD31S,"If Grandma said so, I will.",,confident
DD32S,Amuseland?! Just let me pack my things!,,confident
DD33S,"Ice-cream?! Yes! I'll be there! Tomorrow, 3:00 AM at the park! ",,confident
,,,
ATB,Inquire;Propose;Compliment,,
AT-1,"Sacré bleu, I wasn't expecting you! It feels like an era already passed by.",,
AT0,... ,,
AT1,"You finallì grew tired of that summer love of yours, didn't you?",,
AT2,"I still reminisce about caressing your strong legs like I did back then, they left a splinter in my heart.",,
AT3,"To this day I keep your flowerì cloths neatlì folded under my pillow, and with every night, I dream of you.",,
AT10,...,,
AT2S,...,,
AT3S,...,,
AT11,"You made the right choice, I always despised that sofa. Does your 'eart have a new home now?",,
AT12,"I still reminisce about caressing your strong legs like I did back then, they left a splinter in my heart.",,
AT13,"To this day I keep your flowerì cloths neatlì folded under my pillow, and with every night, I dream of you.",,
AT11F,...,,
AT12S,...,,
AT13S,...,,
,,,
DTB,Bark;Woof;Anf,,
DT-1,Bark Bark!,,
DT0,...,,
DT1,Bark!,,
DT2,Woof! Woof! ,,
DT3,Anf anf anf anf anf.,,
DT1S,"creek, creek, creek, creek, creek...",,
DT2S,"creek, creek, creek, creek, creek...",,
DT3S,"creek, creek, creek, creek, creek...",,
,,,
MDB,Play;Suggest;Approve,,
MD-1,Don't know. How 'bout making out?,,
MD0,Uh! ... what? I... My name is Demolitos.,,aroused
MD1,"And I'm Meryl sweetheart, how'd you like some tickling? *giggle*",,
MD2,"And I'm Meryl sweetheart. Good, now we know each other. Time to make out?",,
MD3,"And I'm Meryl sweetheart. So, you got some preatty nice croach-belts going for you there. ",,
MD1S,Ihih... not there... ehehehe.... stop stop! Ahahahahahahhahah!,,confident
MD20,I... would... I mean... what?!,,aroused
MD30,Thanks! I got them from an orc my Grandma killed.,,aroused
MD21,You would? What are we waiting for? *smooch*,,
MD22,"Make out, as to nack. Skrewl. Play. Shak. <i>Vang</i>, you understand, don't you? Smeep with.",,
MD23,"So, you're the shy one. I can handle that. *smirk*",,
MD21S,Ah... what are you... Oh! Not there... ohohohoh...,,aroused
MD22F,"S-smeep... with?!?! Protect me, Grandma!",,aroused
MD23S,Eheh... ,,aroused
MD31,"Let's play arm wrestling. If I win, we make out!",,
MD32,Really? Let me take a closer look!,,
MD33,"Nice biceps, and look at those legs.",,
MD31S,I never lost at arm wrestling.,,confident
MD320,"Sure. Hey, what are you? Ihih... not there... ehehehe.... stop oh don't stop! Ahahahahahahhahah!",,confident
MD33S,I...,,aroused
,,,
MTB,Play;Suggest;Approve,,
MT-1,That's original.,,
MT0,...,,
MT1,I'll just turn this around and...,,
MT2,I could use couple of self-moving table legs.,,
MT3,What a nice table! Let's work it!,,
MT1S,,,
MT2S,"Tock, thock... crack!",,
MT3S,"Babong, thock, tock.",,
,,,
MPB,Play;Suggest;Approve,,
MP-1,I've got a couple ideas... *smirk*,,
MP0,And you would be... ?,,
MP1,I'm Meryl. Truth or Dare?,,
MP2,Can you take any shape?,,
MP3,That's a nice hat! You got style sis!,,
MP1F,Let me be.,,repulsed
MP20,"Obviously I can, why do you ask?",,
MP30,"Thanks, I appreciate those that can tell.",,aroused
MP21,,,
MP22,,,
MP23,,,
